Item	Frequência	Ranking
de	40884627	1
a	28168893	2
e	23664003	3
o	20418307	4
que	18539781	5
do	12992931	6
da	12574957	7
em	9644313	8
para	9204547	9
com	7934177	10
os	7335268	11
um	6938994	12
no	6699787	13
uma	6371053	14
é	6159947	15
na	5375919	16
não	5313607	17
as	5230259	18
dos	4725066	19
por	4659631	20
se	4269958	21
mais	3863319	22
ao	3742748	23
como	3556815	24
das	3250705	25
à	3250464	26
ou	3035933	27
ser	2125534	28
mas	2066924	29
foi	1865905	30
sua	1809369	31
nos	1752546	32
são	1700865	33
pelo	1571328	34
pela	1496315	35
também	1448923	36
já	1422301	37
seu	1421552	38
tem	1414281	39
este	1338335	40
sobre	1268521	41
muito	1251150	42
entre	1234124	43
esta	1228689	44
aos	1208680	45
ainda	1205709	46
está	1152519	47
anos	1086412	48
nas	1044748	49
dia	1035789	50
até	1020152	51
todos	1004540	52
pode	994022	53
ter	989560	54
quando	902883	55
mesmo	899322	56
há	881984	57
sem	879383	58
às	877687	59
portugal	865397	60
forma	830207	61
bem	814610	62
ano	801066	63
onde	780577	64
trabalho	756371	65
assim	742764	66
só	738746	67
fazer	733268	68
seus	705487	69
sempre	688784	70
depois	672703	71
pessoas	663105	72
isso	658355	73
num	649271	74
cada	642513	75
tempo	641659	76
vez	629902	77
parte	627364	78
vai	622773	79
porque	615632	80
numa	612941	81
vida	605738	82
outros	603398	83
grande	592615	84
apenas	588575	85
eu	573174	86
caso	572270	87
desde	569304	88
foram	566524	89
qualquer	565924	90
lisboa	556509	91
através	547964	92
seja	541701	93
melhor	537954	94
casa	536850	95
suas	534920	96
estão	534647	97
dois	534340	98
quem	528226	99
tudo	526114	100
nacional	517089	101
era	515624	102
dias	508783	103
hoje	508301	104
será	501934	105
agora	494791	106
social	491820	107
durante	491707	108
n	491584	109
saúde	488863	110
têm	478255	111
novo	474953	112
neste	461531	113
artigo	457670	114
estado	457646	115
serviços	453032	116
processo	452947	117
podem	451189	118
deste	449158	119
maior	447826	120
nova	442587	121
mundo	440559	122
todas	440399	123
pelos	431802	124
país	429723	125
me	429172	126
qual	423829	127
sendo	423826	128
aqui	421150	129
governo	420881	130
